"","Bees","Butterflies","Flower_beetles","House_flies","Hoverflies","Humbleflies","Small_beetles","Small_flies"
"C2 PUPA 1",0,0.0666666666666667,0,0,0,0.0666666666666667,0,0
"C2 PUPA 10",0,0.0666666666666667,0,0,0,0.0666666666666667,0,0
"C2 PUPA 11",0,0.0666666666666667,0,0,0,0.0666666666666667,0,0
"C2 PUPA 12",0,0.0666666666666667,0,0,0,0.0666666666666667,0,0
"C2 PUPA 13",0,0.0666666666666667,0,0,0,0.0666666666666667,0,0
"C2 PUPA 14",0,0.0666666666666667,0,0,0,0.0666666666666667,0,0
"C2 PUPA 15",0,0.0666666666666667,0,0,0,0.0666666666666667,0,0
"C2 PUPA 2",0,0.0666666666666667,0,0,0,0.0666666666666667,0,0
"C2 PUPA 3",0,0.0666666666666667,0,0,0,0.0666666666666667,0,0
"C2 PUPA 4",0,0.0666666666666667,0,0,0,0.0666666666666667,0,0
"C2 PUPA 5",0,0.0666666666666667,0,0,0,0.0666666666666667,0,0
"C2 PUPA 6",0,0.0666666666666667,0,0,0,0.0666666666666667,0,0
"C2 PUPA 7",0,0.0666666666666667,0,0,0,0.0666666666666667,0,0
"C2 PUPA 8",0,0.0666666666666667,0,0,0,0.0666666666666667,0,0
"C2 PUPA 9",0,0.0666666666666667,0,0,0,0.0666666666666667,0,0
"C3 PUPA 1",0.12,0.12,0,0,0,0.24,0,0
"C3 PUPA 10",0.12,0.12,0,0,0,0.24,0,0
"C3 PUPA 11",0.12,0.12,0,0,0,0.24,0,0
"C3 PUPA 12",0.12,0.12,0,0,0,0.24,0,0
"C3 PUPA 13",0.12,0.12,0,0,0,0.24,0,0
"C3 PUPA 14",0.12,0.12,0,0,0,0.24,0,0
"C3 PUPA 15",0.12,0.12,0,0,0,0.24,0,0
"C3 PUPA 16",0.12,0.12,0,0,0,0.24,0,0
"C3 PUPA 17",0.12,0.12,0,0,0,0.24,0,0
"C3 PUPA 18",0.12,0.12,0,0,0,0.24,0,0
"C3 PUPA 19",0.12,0.12,0,0,0,0.24,0,0
"C3 PUPA 2",0.12,0.12,0,0,0,0.24,0,0
"C3 PUPA 20",0.12,0.12,0,0,0,0.24,0,0
"C3 PUPA 21",0.12,0.12,0,0,0,0.24,0,0
"C3 PUPA 22",0.12,0.12,0,0,0,0.24,0,0
"C3 PUPA 23",0.12,0.12,0,0,0,0.24,0,0
"C3 PUPA 24",0.12,0.12,0,0,0,0.24,0,0
"C3 PUPA 25",0.12,0.12,0,0,0,0.24,0,0
"C3 PUPA 3",0.12,0.12,0,0,0,0.24,0,0
"C3 PUPA 4",0.12,0.12,0,0,0,0.24,0,0
"C3 PUPA 5",0.12,0.12,0,0,0,0.24,0,0
"C3 PUPA 6",0.12,0.12,0,0,0,0.24,0,0
"C3 PUPA 7",0.12,0.12,0,0,0,0.24,0,0
"C3 PUPA 8",0.12,0.12,0,0,0,0.24,0,0
"C3 PUPA 9",0.12,0.12,0,0,0,0.24,0,0
"C4 PUPA 1",0,0.025,0,0,0,0.025,0,0
"C4 PUPA 10",0,0.025,0,0,0,0.025,0,0
"C4 PUPA 11",0,0.025,0,0,0,0.025,0,0
"C4 PUPA 12",0,0.025,0,0,0,0.025,0,0
"C4 PUPA 13",0,0.025,0,0,0,0.025,0,0
"C4 PUPA 14",0,0.025,0,0,0,0.025,0,0
"C4 PUPA 15",0,0.025,0,0,0,0.025,0,0
"C4 PUPA 16",0,0.025,0,0,0,0.025,0,0
"C4 PUPA 17",0,0.025,0,0,0,0.025,0,0
"C4 PUPA 18",0,0.025,0,0,0,0.025,0,0
"C4 PUPA 19",0,0.025,0,0,0,0.025,0,0
"C4 PUPA 2",0,0.025,0,0,0,0.025,0,0
"C4 PUPA 20",0,0.025,0,0,0,0.025,0,0
"C4 PUPA 21",0,0.025,0,0,0,0.025,0,0
"C4 PUPA 22",0,0.025,0,0,0,0.025,0,0
"C4 PUPA 23",0,0.025,0,0,0,0.025,0,0
"C4 PUPA 24",0,0.025,0,0,0,0.025,0,0
"C4 PUPA 25",0,0.025,0,0,0,0.025,0,0
"C4 PUPA 26",0,0.025,0,0,0,0.025,0,0
"C4 PUPA 27",0,0.025,0,0,0,0.025,0,0
"C4 PUPA 28",0,0.025,0,0,0,0.025,0,0
"C4 PUPA 29",0,0.025,0,0,0,0.025,0,0
"C4 PUPA 3",0,0.025,0,0,0,0.025,0,0
"C4 PUPA 30",0,0.025,0,0,0,0.025,0,0
"C4 PUPA 31",0,0.025,0,0,0,0.025,0,0
"C4 PUPA 32",0,0.025,0,0,0,0.025,0,0
"C4 PUPA 33",0,0.025,0,0,0,0.025,0,0
"C4 PUPA 34",0,0.025,0,0,0,0.025,0,0
"C4 PUPA 35",0,0.025,0,0,0,0.025,0,0
"C4 PUPA 36",0,0.025,0,0,0,0.025,0,0
"C4 PUPA 37",0,0.025,0,0,0,0.025,0,0
"C4 PUPA 38",0,0.025,0,0,0,0.025,0,0
"C4 PUPA 39",0,0.025,0,0,0,0.025,0,0
"C4 PUPA 4",0,0.025,0,0,0,0.025,0,0
"C4 PUPA 40",0,0.025,0,0,0,0.025,0,0
"C4 PUPA 5",0,0.025,0,0,0,0.025,0,0
"C4 PUPA 6",0,0.025,0,0,0,0.025,0,0
"C4 PUPA 7",0,0.025,0,0,0,0.025,0,0
"C4 PUPA 8",0,0.025,0,0,0,0.025,0,0
"C4 PUPA 9",0,0.025,0,0,0,0.025,0,0
"C5 PUPA 1",0,0.466666666666667,0,0,0,0,0,0
"C5 PUPA 10",0,0.466666666666667,0,0,0,0,0,0
"C5 PUPA 11",0,0.466666666666667,0,0,0,0,0,0
"C5 PUPA 12",0,0.466666666666667,0,0,0,0,0,0
"C5 PUPA 13",0,0.466666666666667,0,0,0,0,0,0
"C5 PUPA 14",0,0.466666666666667,0,0,0,0,0,0
"C5 PUPA 15",0,0.466666666666667,0,0,0,0,0,0
